language,family,subfamily,concept,ipa
ben,Indo-European,Indo-Aryan,979_comb,ã tʃ ɔ ɽ a n o
ben,Indo-European,Indo-Aryan,97_summit,ʃ i r ʃ o
ben,Indo-European,Indo-Aryan,980_decorate,ʃ a dʒ a n + k ɔ r a
ben,Indo-European,Indo-Aryan,981_say,u t tʃ a r ɔ n + k ɔ r a
ben,Indo-European,Indo-Aryan,982_speak,b ɔ l a
ben,Indo-European,Indo-Aryan,983_talk,a l a p + k ɔ r a
ben,Indo-European,Indo-Aryan,984_chat,a ɖː a + d̪ e o w a
ben,Indo-European,Indo-Aryan,985_ask,dʒ i gː æ ʃ a + k ɔ r a
ben,Indo-European,Indo-Aryan,986_request,p r a r t̪ʰ ɔ n a + k ɔ r a
ben,Indo-European,Indo-Aryan,987_tell,b ɔ r n o n a + k ɔ r a
ben,Indo-European,Indo-Aryan,988_convey,b ɔ l a
ben,Indo-European,Indo-Aryan,989_name,n a m + d̪ e o w a
ben,Indo-European,Indo-Aryan,98_cave,g u ɦ a
ben,Indo-European,Indo-Aryan,990_call,a m ɔ n t̪ r ɔ n + k ɔ r a
ben,Indo-European,Indo-Aryan,991_brag,b ɔ ɽ ai + k ɔ r a
ben,Indo-European,Indo-Aryan,992_translate,bʰ a ʃ a s t̪ ɔ r i t̪ + k ɔ r a
ben,Indo-European,Indo-Aryan,993_think,bʰ a b a
ben,Indo-European,Indo-Aryan,994_believe,b i ʃː a ʃ + k ɔ r a
ben,Indo-European,Indo-Aryan,995_notice,l ɔ k kʰ o + k ɔ r a
ben,Indo-European,Indo-Aryan,996_recognize,tʃ i n i t̪ e + p a r a
ben,Indo-European,Indo-Aryan,997_grasp,u p ɔ l o b d̪ʰ i + k ɔ r a
ben,Indo-European,Indo-Aryan,998_understand,u p ɔ l o b d̪ʰ i + k ɔ r a
ben,Indo-European,Indo-Aryan,999_learn,ʃ e kʰ a
ben,Indo-European,Indo-Aryan,99_slope,ɖʰ a l
ben,Indo-European,Indo-Aryan,9_face,m u kʰ ɔ m o n ɖ ɔ l
bre,Indo-European,Celtic,1000_know,g uː z u t
bre,Indo-European,Celtic,1001_remember,k ɔʊ t + s ɔ̃ ʒ + ɛ
bre,Indo-European,Celtic,1002_forget,ã ŋ k w ɑː a t
bre,Indo-European,Celtic,1003_measure,m y z ɔ l iːã
bre,Indo-European,Celtic,1004_count,k ɔ̃ n t ã
bre,Indo-European,Celtic,1005_calculate,ʒ eː d ã
bre,Indo-European,Celtic,1006_read,l ɛ̃ n
bre,Indo-European,Celtic,1007_paint,l iː v ã
bre,Indo-European,Celtic,1008_draw,t ʀ ɛ s ã
bre,Indo-European,Celtic,1009_write,s k ʀ iː v ã
bre,Indo-European,Celtic,100_source,f ø̃ n t ø̃ n
bre,Indo-European,Celtic,1010_own,k ɔʊ t
bre,Indo-European,Celtic,1011_buy,p ʀ ẽː n ã
bre,Indo-European,Celtic,1012_sell,g w ɛ ʀ z ã
bre,Indo-European,Celtic,1013_payfor,p ae ã
bre,Indo-European,Celtic,1014_pay,p ae ã
bre,Indo-European,Celtic,1015_rule,m ɛ s t ʀ ɔ̃ n iːã
bre,Indo-European,Celtic,1016_endure,ã n d ɔ ʀ ĩ
bre,Indo-European,Celtic,101_brook,g w ɑː s
bre,Indo-European,Celtic,102_river,s t ɛː ʀ
bre,Indo-European,Celtic,103_shore,ʀ i b lˠ
bre,Indo-European,Celtic,104_coast,ao t
bre,Indo-European,Celtic,105_land,d uː a ʀ
bre,Indo-European,Celtic,106_sea,m oː ʀ
bre,Indo-European,Celtic,107_covebay,m ɔ ʀ b i h ã n
bre,Indo-European,Celtic,108_island,ẽː n ɛ s
bre,Indo-European,Celtic,109_flower,b l ø̃ n iː ɛ̃ n
bre,Indo-European,Celtic,10_forehead,t ɑː l
bre,Indo-European,Celtic,110_grass,g eː t
bre,Indo-European,Celtic,111_root,g w ʀ i z iː ɛ̃ n
bre,Indo-European,Celtic,112_tree,g w eː z ɛ̃ n
bre,Indo-European,Celtic,113_trunk,k eː f
bre,Indo-European,Celtic,114_bark,ʀ y s k
bre,Indo-European,Celtic,115_limb,b ɑː ʀ
bre,Indo-European,Celtic,116_twig,b oː t
bre,Indo-European,Celtic,117_leaf,d ɛ l iː ɛ̃ n
bre,Indo-European,Celtic,118_birch,b ɛ z v ɛ̃ n
bre,Indo-European,Celtic,119_pine,p iː n ɛ̃ n
bre,Indo-European,Celtic,11_hair,b l eː w
bre,Indo-European,Celtic,120_willow,h a l eː g ɛ̃ n
bre,Indo-European,Celtic,121_fir,s a p ɛ̃ n
bre,Indo-European,Celtic,122_horn,k ɔ ʀ n
bre,Indo-European,Celtic,123_feather,p l ỹː w
bre,Indo-European,Celtic,124_fur,k ʀ ẽː
bre,Indo-European,Celtic,125_wing,a s k ɛ l
bre,Indo-European,Celtic,126_claw,s k i l f
bre,Indo-European,Celtic,127_paw,s k i l f
bre,Indo-European,Celtic,128_tail,l ɔ s t
bre,Indo-European,Celtic,129_egg,v iː
bre,Indo-European,Celtic,12_moustache,m uː ʀ ɛ̃ n
bre,Indo-European,Celtic,130_nest,n ɛi s
bre,Indo-European,Celtic,131_lair,d w ɑː ʀ ɛ̃ n
bre,Indo-European,Celtic,132_animal,l ɔ ɛ̃ː n
bre,Indo-European,Celtic,133_flock,t ʀ ɔ p ɛ l
bre,Indo-European,Celtic,134_cow,b yː ɔ x
bre,Indo-European,Celtic,135_bull,t a ʀ o
bre,Indo-European,Celtic,136_horse,m a ʀ x
bre,Indo-European,Celtic,137_sheep,d ãː v a t
bre,Indo-European,Celtic,138_pig,p eː m ɔ x
bre,Indo-European,Celtic,139_dog,k iː
bre,Indo-European,Celtic,13_beard,b a ʀ o
bre,Indo-European,Celtic,140_cat,k ɑː s
bre,Indo-European,Celtic,141_bear,a ʀ s
bre,Indo-European,Celtic,142_squirrel,g w ĩː v ɛ ʀ
bre,Indo-European,Celtic,143_elk,k a ʀ v d u ʀ
bre,Indo-European,Celtic,144_fox,l uː a ʀ n
bre,Indo-European,Celtic,145_hare,g ɑː t
bre,Indo-European,Celtic,146_mouse,l ɔ g oː d ɛ̃ n
bre,Indo-European,Celtic,147_wolf,b l ɛi s
bre,Indo-European,Celtic,148_bird,l ɑː b u s
bre,Indo-European,Celtic,149_swarm,n iː ʒ a t
bre,Indo-European,Celtic,14_chin,g ʀ ɔ̃ ʃ
bre,Indo-European,Celtic,150_chicken,j ɑː ʀ
bre,Indo-European,Celtic,151_cock,k iː ʎ ɔ k
bre,Indo-European,Celtic,152_goose,g w ɑː z ɛ̃ n
bre,Indo-European,Celtic,153_eagle,eː ʀ ɛ ʀ
bre,Indo-European,Celtic,154_duck,h uː a t
bre,Indo-European,Celtic,155_owl,t uː t
bre,Indo-European,Celtic,156_crane,g ɑː ʀ ã n
bre,Indo-European,Celtic,157_crow,b ʀ ɑ̃ː n
bre,Indo-European,Celtic,158_cuckoo,k u k u k
bre,Indo-European,Celtic,159_swan,ɑː l a ʀ x
bre,Indo-European,Celtic,15_jaw,ʒ ɑː v ɛ t
bre,Indo-European,Celtic,160_fish,p ɛ s k
bre,Indo-European,Celtic,161_perch,b ʀ ɛ l
bre,Indo-European,Celtic,162_pike,b ɛ k ɛ t
bre,Indo-European,Celtic,163_snake,n ae ʀ
bre,Indo-European,Celtic,164_worm,p ʀ ɛ̃ w
bre,Indo-European,Celtic,165_spider,k ɛ v n iː d ɛ̃ n
bre,Indo-European,Celtic,166_ant,m ɛ ʀ iː ɔ̃ n
bre,Indo-European,Celtic,167_louse,l ɔʊ ɛ̃ n
bre,Indo-European,Celtic,168_gnat,m u s t i k
bre,Indo-European,Celtic,169_fly,k ɛ ʎ ẽː n ɛ̃ n
bre,Indo-European,Celtic,16_throat,g uː z u k
bre,Indo-European,Celtic,170_butterfly,b a l a f ɛ̃ n
bre,Indo-European,Celtic,171_berry,h oː k
bre,Indo-European,Celtic,172_apple,ɑː v a l
bre,Indo-European,Celtic,173_mushroom,k a b ɛ l t u s ɛ k
bre,Indo-European,Celtic,174_onion,ɔ ɲ õː n ɛ̃ n
bre,Indo-European,Celtic,175_seed,h ɑː t
bre,Indo-European,Celtic,176_grain,eː t
bre,Indo-European,Celtic,177_hay,f ɔ ɛ̃ n
bre,Indo-European,Celtic,178_peelhusk,p ɛ ʎ ɑː d ɔ ʀ
bre,Indo-European,Celtic,17_neck,g uː z u k
bre,Indo-European,Celtic,180_trap,p eː ʃ
bre,Indo-European,Celtic,181_noose,k ʀ u g l a s
bre,Indo-European,Celtic,183_ash,l yː d y
bre,Indo-European,Celtic,184_filth,f ã ŋ
bre,Indo-European,Celtic,185_iron,h uː a ʀ n
bre,Indo-European,Celtic,186_gold,ɔʊ ʀ
bre,Indo-European,Celtic,187_silver,a ʀ x ã n
bre,Indo-European,Celtic,188_coal,g l ɔʊ
bre,Indo-European,Celtic,189_glass,g w eː ʀ
bre,Indo-European,Celtic,18_nape,ʃ uː k
bre,Indo-European,Celtic,191_sand,t ʀ ae s
bre,Indo-European,Celtic,192_human,d ẽː n
bre,Indo-European,Celtic,193_man,d ẽː n
bre,Indo-European,Celtic,194_woman,m ɔʊ ɛ s
bre,Indo-European,Celtic,195_child,b yː g ɛ l
bre,Indo-European,Celtic,196_boy,p ao t
bre,Indo-European,Celtic,197_girl,p l ɑː x
bre,Indo-European,Celtic,198_family,f ɑ̃ː m i ʎ
bre,Indo-European,Celtic,199_grandfather,t a d k ɔ s
bre,Indo-European,Celtic,19_head,p ɛ̃ n
bre,Indo-European,Celtic,1_eye,l ɑː g a t
bre,Indo-European,Celtic,200_grandmother,m ã m g ɔ s
bre,Indo-European,Celtic,201_parents,k eː ʀ ɛ̃ n
bre,Indo-European,Celtic,202_father,t ɑː t
bre,Indo-European,Celtic,203_mother,m ã m
bre,Indo-European,Celtic,204_son,m ɑː p
bre,Indo-European,Celtic,205_daughter,m ɛ ʀ x
bre,Indo-European,Celtic,206_brother,b ʀ øː ʀ
bre,Indo-European,Celtic,207_sister,h ɔ a ʀ
bre,Indo-European,Celtic,208_uncle,ẽː n t
bre,Indo-European,Celtic,209_aunt,m ɔɛː ʀ ɛ p
bre,Indo-European,Celtic,20_back,k ɛi n
bre,Indo-European,Celtic,210_husband,g w ɑː s
bre,Indo-European,Celtic,211_wife,g w ʀ ɛ k
bre,Indo-European,Celtic,212_joy,l ɛ v ẽː n ɛ s
bre,Indo-European,Celtic,213_laughter,h ɔ a ʀ z eː ʀ ɛ s
bre,Indo-European,Celtic,214_happiness,ʃ ãː s
bre,Indo-European,Celtic,215_grief,d ɔɑ̃ː n
bre,Indo-European,Celtic,216_wish,h ɔ ã n
bre,Indo-European,Celtic,217_desire,h ɔ ã n
bre,Indo-European,Celtic,218_spirit,s p eː ʀ ɛ t
bre,Indo-European,Celtic,219_thought,s ɔ̃ ʃ
bre,Indo-European,Celtic,21_belly,k oː f
bre,Indo-European,Celtic,220_memory,ɛ̃ v ɔ ʀ
bre,Indo-European,Celtic,221_mind,s k iːã n
bre,Indo-European,Celtic,222_meaning,s t eː ʀ
bre,Indo-European,Celtic,223_reason,k ao s
bre,Indo-European,Celtic,224_truth,g w i ʀ j õː n ɛ s
bre,Indo-European,Celtic,225_talk,k ao z ɛ ɑː d ɛ̃ n
bre,Indo-European,Celtic,226_fairytale,k ao z + k ɔ ʀ i g ɑ̃ː n ɛ s
bre,Indo-European,Celtic,227_story,k ɔ̃ n t ɑː d ɛ̃ n
bre,Indo-European,Celtic,228_message,k eː l u
bre,Indo-European,Celtic,229_news,k ɛ l ɔʊ ɛ̃ n
bre,Indo-European,Celtic,22_navel,b eː g ɛ l
bre,Indo-European,Celtic,230_name,ã n o
bre,Indo-European,Celtic,231_puzzle,d i v i n a t ɛ s
bre,Indo-European,Celtic,232_speech,d i s k u ʀ
bre,Indo-European,Celtic,233_language,j eː s
bre,Indo-European,Celtic,234_voice,m uː ɛ s
bre,Indo-European,Celtic,235_word,g eː ʀ
bre,Indo-European,Celtic,236_sign,s iː n
bre,Indo-European,Celtic,237_call,g a l o
bre,Indo-European,Celtic,238_noise,t ʀ uː s
bre,Indo-European,Celtic,23_bosom,b ʀ ɔ̃ n
bre,Indo-European,Celtic,240_tone,t õː n
bre,Indo-European,Celtic,241_song,k ã n ɔʊ ɛ̃ n
bre,Indo-European,Celtic,242_calm,s j u l d ɛ t
bre,Indo-European,Celtic,243_people,t yː t
bre,Indo-European,Celtic,244_nation,p ɔ b lˠ
bre,Indo-European,Celtic,245_work,l ɑː b u ʀ
bre,Indo-European,Celtic,246_guest,k u v iː a t
bre,Indo-European,Celtic,247_gift,p ʀ oː f
bre,Indo-European,Celtic,248_game,h ɔɑː ʀ i
bre,Indo-European,Celtic,249_company,k ɔ̃ m p a ɲ ɔ̃ n ɛ s
bre,Indo-European,Celtic,249_company,k a v ã n d a t
bre,Indo-European,Celtic,24_breast,b ʀ y ʃ ɛ t
bre,Indo-European,Celtic,250_help,s i k u ʀ
bre,Indo-European,Celtic,251_friend,m iː ɲ ɔ̃ n
bre,Indo-European,Celtic,252_companion,k ã m ɑː ʀ a t
bre,Indo-European,Celtic,253_matter,a f ɛ ʀ
bre,Indo-European,Celtic,254_count,n iː v ɛ ʀ
bre,Indo-European,Celtic,255_sort,s ɔ ʀ t
bre,Indo-European,Celtic,256_piece,t ã m
bre,Indo-European,Celtic,257_part,p eː s
bre,Indo-European,Celtic,258_half,h ã n t eː ʀ ɛ̃ n
bre,Indo-European,Celtic,259_circle,k ɛ l x
bre,Indo-European,Celtic,25_shoulder,s k ɔɑː s
bre,Indo-European,Celtic,260_cross,k ʀ ɔɑː s
bre,Indo-European,Celtic,261_line,l iː n ɛ̃ n
bre,Indo-European,Celtic,262_stroke,t ɛ̃ n
bre,Indo-European,Celtic,263_gap,d i s t ɔ k
bre,Indo-European,Celtic,264_distance,k ɛi t
bre,Indo-European,Celtic,264_distance,k ɛ h i t
bre,Indo-European,Celtic,265_area,k ɔ ʀ n b ʀ ɔ
bre,Indo-European,Celtic,266_space,p l a s ɛ̃ n
bre,Indo-European,Celtic,267_place,l eː x
bre,Indo-European,Celtic,268_side,t yː
bre,Indo-European,Celtic,269_middle,k ʀ ɛi s
bre,Indo-European,Celtic,26_arm,b ʀ eː x
bre,Indo-European,Celtic,270_item,t ʀ ɑː
bre,Indo-European,Celtic,271_thing,t ʀ ɑː
bre,Indo-European,Celtic,272_fringe,k ã n t ɛ̃ n
bre,Indo-European,Celtic,273_edge,k ã n t ɛ̃ n
bre,Indo-European,Celtic,274_corner,k ɔ ʀ n
bre,Indo-European,Celtic,275_tip,b eː g ɛ l
bre,Indo-European,Celtic,276_end,d iː b ɛ̃ n
bre,Indo-European,Celtic,277_hole,t u l
bre,Indo-European,Celtic,279_pattern,t ʀ ɛ s ɑː d ɛ̃ n
bre,Indo-European,Celtic,27_elbow,iː l i n
bre,Indo-European,Celtic,280_size,m ɛ̃ n
bre,Indo-European,Celtic,281_length,h i ʀ d ɛ ʀ
bre,Indo-European,Celtic,282_height,y h ɛ l d ɛ ʀ
bre,Indo-European,Celtic,283_weight,p uː ɛ s
bre,Indo-European,Celtic,284_amount,b ɛ ʀ n
bre,Indo-European,Celtic,285_heap,b ɛ ʀ n
bre,Indo-European,Celtic,286_row,s t øː t
bre,Indo-European,Celtic,287_boat,b ɑː k
bre,Indo-European,Celtic,288_oar,ʀ ɔ ɛ̃ː w
bre,Indo-European,Celtic,289_sleigh,t ʀ a jː n ɛ l
bre,Indo-European,Celtic,28_hand,d ɔ ʀ n
bre,Indo-European,Celtic,290_ski,s k iː
bre,Indo-European,Celtic,292_load,k a ʀ k
bre,Indo-European,Celtic,293_walk,k ɛ ʀ s
bre,Indo-European,Celtic,294_step,p ɑː s
bre,Indo-European,Celtic,295_north,n ɔ ʀ s
bre,Indo-European,Celtic,295_north,h ã n t ɛ ʀ n ɔ s
bre,Indo-European,Celtic,296_south,s yː
bre,Indo-European,Celtic,296_south,k ʀ ɛi s t ɛi s
bre,Indo-European,Celtic,297_west,k y z h eː l
bre,Indo-European,Celtic,298_east,ʀ ɛ t ɛ ʀ
bre,Indo-European,Celtic,298_east,s a v h eː l
bre,Indo-European,Celtic,299_wood,k ɔɑː t
bre,Indo-European,Celtic,29_palm,p a l o
bre,Indo-European,Celtic,2_ear,s k uː a ʀ n
bre,Indo-European,Celtic,300_board,p l ã ŋ k ɛ̃ n
bre,Indo-European,Celtic,301_slab,p l a k ɛ̃ n
bre,Indo-European,Celtic,302_supportrest,h a ʀ p
bre,Indo-European,Celtic,303_pole,s p a ʀ lˠ
bre,Indo-European,Celtic,304_stick,b ɑː s
bre,Indo-European,Celtic,305_staff,b ɑː s
bre,Indo-European,Celtic,306_pipe,t yː p
bre,Indo-European,Celtic,306_pipe,k ɔ ʀ s
bre,Indo-European,Celtic,307_house,t iː
bre,Indo-European,Celtic,308_home,k ɛː ʀ
bre,Indo-European,Celtic,309_stove,f ɔ ʀ n
bre,Indo-European,Celtic,30_finger,b iː s
bre,Indo-European,Celtic,310_floor,p l ã ʃ ɔ t
bre,Indo-European,Celtic,311_table,t ao l
bre,Indo-European,Celtic,312_chair,k ɑː d ɔ ʀ
bre,Indo-European,Celtic,313_cradle,k ɑː v ɛ l
bre,Indo-European,Celtic,314_bed,g w eː l ɛ
bre,Indo-European,Celtic,315_shelf,ɛ s t a ʒ eː ʀ ɛ̃ n
bre,Indo-European,Celtic,316_box,k a s ɛ t
bre,Indo-European,Celtic,317_window,p ʀ ɛ̃ n ɛ s t
bre,Indo-European,Celtic,318_door,d oː ʀ
bre,Indo-European,Celtic,319_gate,p ɔ ʀ t a l
bre,Indo-European,Celtic,31_fingernail,iː v i n
bre,Indo-European,Celtic,320_fence,s k l ɔ t ɔ ʀ
bre,Indo-European,Celtic,321_roof,t ɔ ɛ̃ n
bre,Indo-European,Celtic,322_ladder,s k øː l
bre,Indo-European,Celtic,323_broom,s k yː b ɛ l
bre,Indo-European,Celtic,324_spade,p ɑː l
bre,Indo-European,Celtic,325_shovel,p ɑː l
bre,Indo-European,Celtic,326_fork,f u ʀ ʃ ɛ t ɛ s
bre,Indo-European,Celtic,327_spoon,l ɔɑː
bre,Indo-European,Celtic,328_knife,k ɔ̃ n t ɛ l
bre,Indo-European,Celtic,329_nail,t ɑː ʃ
bre,Indo-European,Celtic,32_nail,iː v i n
bre,Indo-European,Celtic,330_net,ʀ uː ɛ t
bre,Indo-European,Celtic,331_hook,k ʀ oː k
bre,Indo-European,Celtic,332_handle,k eː m ɛ ʀ
bre,Indo-European,Celtic,333_lock,p ɔ t ɛ̃ n
bre,Indo-European,Celtic,334_picture,s k øː d ɛ̃ n
bre,Indo-European,Celtic,335_figure,s k øː t
bre,Indo-European,Celtic,335_figure,f iː g ɔ ʀ
bre,Indo-European,Celtic,336_doll,m ɛ ʀ x oː d ɛ̃ n
bre,Indo-European,Celtic,337_pouch,s ɑː x
bre,Indo-European,Celtic,338_bundle,f ɛ s k ɛ̃ n
bre,Indo-European,Celtic,339_bag,s ɑː x
bre,Indo-European,Celtic,33_toe,b i z t ʀ ɔ a t
bre,Indo-European,Celtic,340_bucket,s ɑː j ʎ
bre,Indo-European,Celtic,341_coverlid,p a l ɛ̃ n
bre,Indo-European,Celtic,342_dishes,l i s t ʀ iː a ʃ
bre,Indo-European,Celtic,343_sack,s ɑː x
bre,Indo-European,Celtic,344_cup,t ɑː s
bre,Indo-European,Celtic,345_pot,p oː t
bre,Indo-European,Celtic,346_kettle,ʃ ao d uː ʀ ɔ̃ n
bre,Indo-European,Celtic,347_meal,p ʀ eː t
bre,Indo-European,Celtic,348_food,b uː ɛ t
bre,Indo-European,Celtic,349_dish,m øː s
bre,Indo-European,Celtic,34_foot,t ʀ ɔɑː t
bre,Indo-European,Celtic,350_meat,k iː k
bre,Indo-European,Celtic,351_corn,eː t
bre,Indo-European,Celtic,352_mush,j oː t
bre,Indo-European,Celtic,353_bread,b ɑː ʀ a
bre,Indo-European,Celtic,354_slice,t a jː ʎ ɛ̃ n
bre,Indo-European,Celtic,355_fat,l a ʀ t
bre,Indo-European,Celtic,356_butter,ɑ̃ː m ã n
bre,Indo-European,Celtic,357_oil,eː ɔ l
bre,Indo-European,Celtic,358_salt,h oː l ɛ̃ n
bre,Indo-European,Celtic,359_soup,s uː b ɛ̃ n
bre,Indo-European,Celtic,35_heel,s øː l
bre,Indo-European,Celtic,360_honey,m eː l
bre,Indo-European,Celtic,361_milk,l ae s
bre,Indo-European,Celtic,362_tea,t eː
bre,Indo-European,Celtic,363_leather,l ɛː ʀ
bre,Indo-European,Celtic,364_wool,g l ɔɑ̃ː n
bre,Indo-European,Celtic,365_cloth,d ã n v ɛ s
bre,Indo-European,Celtic,366_needle,n ɑː d ɔ s
bre,Indo-European,Celtic,367_thread,n øː d ɛ̃ n
bre,Indo-European,Celtic,368_button,b u t ɔ̃ n
bre,Indo-European,Celtic,369_knot,s k u l m
bre,Indo-European,Celtic,36_knee,g l iː n
bre,Indo-European,Celtic,370_paint,l iː w
bre,Indo-European,Celtic,371_clothes,d iː ʎ a t
bre,Indo-European,Celtic,372_shirt,ʀ oː ɣ ɛ t
bre,Indo-European,Celtic,373_collar,g uː z u k
bre,Indo-European,Celtic,374_sleeve,m i l g i n
bre,Indo-European,Celtic,375_trousers,b ʀ ɑː g u
bre,Indo-European,Celtic,376_belt,g uː ʀ i s
bre,Indo-European,Celtic,377_cap,b õː n ɛ t
bre,Indo-European,Celtic,378_shoe,b ɔ t ɛ s
bre,Indo-European,Celtic,379_boot,b ɔ t ɛ s
bre,Indo-European,Celtic,37_thigh,m ɔ ʀ z ɛ t
bre,Indo-European,Celtic,380_ring,g w ɑː l ɛ̃ n
bre,Indo-European,Celtic,381_ribbon,b ɑː g a t
bre,Indo-European,Celtic,382_comb,k ʀ iː p
bre,Indo-European,Celtic,383_mirror,m ɛ l eː z u ʀ
bre,Indo-European,Celtic,384_strap,l eː ʀ ɛ̃ n
bre,Indo-European,Celtic,385_string,k ɔ ʀ d ɛ̃ n
bre,Indo-European,Celtic,386_leash,ʀ ɔ l
bre,Indo-European,Celtic,387_blanket,g oː l ɔ
bre,Indo-European,Celtic,388_pillow,g u b ɛ̃ n ɛ ʀ
bre,Indo-European,Celtic,389_scarf,m eː z ɛ ʀ
bre,Indo-European,Celtic,38_leg,g ɑː ʀ
bre,Indo-European,Celtic,390_towel,t ɔ a jː ʎ ɔ̃ n
bre,Indo-European,Celtic,391_force,n ɛ ʀ s
bre,Indo-European,Celtic,392_strength,n ɛ ʀ z d ɛ ʀ
bre,Indo-European,Celtic,393_health,j eː ɣ ɛ t
bre,Indo-European,Celtic,394_illness,k l ãː v ɛ t
bre,Indo-European,Celtic,395_pain,p ɔɑ̃ː n
bre,Indo-European,Celtic,395_pain,d ʀ uː k
bre,Indo-European,Celtic,396_wound,g l ɔ a z ɑː d ɛ̃ n
bre,Indo-European,Celtic,397_fever,t ɛ ʀ z iː ɛ̃ n
bre,Indo-European,Celtic,398_medicine,l uː z u
bre,Indo-European,Celtic,399_bridge,p ɔ̃ n
bre,Indo-European,Celtic,39_body,k ɔ ʀ f
bre,Indo-European,Celtic,3_nose,f ʀ iː
bre,Indo-European,Celtic,400_well,p ỹː s
bre,Indo-European,Celtic,401_pasture,p ʀ ɑː t
bre,Indo-European,Celtic,402_path,g w ɛ̃ n oː d ɛ̃ n
bre,Indo-European,Celtic,403_way,h ɛ̃ n
bre,Indo-European,Celtic,404_road,ʀ yː
bre,Indo-European,Celtic,404_road,h ɛ̃ n
bre,Indo-European,Celtic,405_village,k ɛː ʀ
bre,Indo-European,Celtic,405_village,k ɛː ʀ j ɑː d ɛ̃ n
bre,Indo-European,Celtic,406_town,k ɛː ʀ
bre,Indo-European,Celtic,407_letter,l iː z ɛ ʀ
bre,Indo-European,Celtic,408_book,l ɛ v ʀ
bre,Indo-European,Celtic,409_character,l i z eː ʀ ɛ̃ n
bre,Indo-European,Celtic,40_skin,k ʀ oː ɣ ɛ̃ n
bre,Indo-European,Celtic,410_newspaper,k a z ɛ t ɛ̃ n
bre,Indo-European,Celtic,411_life,b y h ɛ s
bre,Indo-European,Celtic,412_death,m a ʀ o
bre,Indo-European,Celtic,413_grave,b eː s
bre,Indo-European,Celtic,414_church,iː l i s
bre,Indo-European,Celtic,415_sin,p eː ɣ ɛ t
bre,Indo-European,Celtic,416_god,d uː ɛ
bre,Indo-European,Celtic,417_worker,l a b uː ʀ ɛ ʀ
bre,Indo-European,Celtic,417_worker,m i ʃ eː ʀ u ʀ
bre,Indo-European,Celtic,418_boss,p ɛ̃ n
bre,Indo-European,Celtic,419_master,m ɛ s t
bre,Indo-European,Celtic,41_blood,g w ɑː t
bre,Indo-European,Celtic,420_doctor,m eː z ɛ k
bre,Indo-European,Celtic,420_doctor,m ɛ d i s i n
bre,Indo-European,Celtic,421_teacher,s k oː l ae ʀ
bre,Indo-European,Celtic,421_teacher,k ɛ l ɛ̃ n ɛ ʀ
bre,Indo-European,Celtic,422_money,a ʀ x ã n
bre,Indo-European,Celtic,423_business,s t ɑː l
bre,Indo-European,Celtic,424_shop,s t ɑː l
bre,Indo-European,Celtic,425_price,p ʀ iː s
bre,Indo-European,Celtic,426_ware,m a ʀ x a d uː ʀ ɛ s
bre,Indo-European,Celtic,427_benefit,g u n i d eː g ɛ s
bre,Indo-European,Celtic,427_benefit,l ãː s
bre,Indo-European,Celtic,427_benefit,p ʀ ɔ f i t
bre,Indo-European,Celtic,427_benefit,s p l ɛi t
bre,Indo-European,Celtic,428_wealth,p i n v i d iː g ɛ s
bre,Indo-European,Celtic,429_world,d uː a ʀ
bre,Indo-European,Celtic,42_vein,g w ɑː z i
bre,Indo-European,Celtic,430_country,b ʀ oː
bre,Indo-European,Celtic,431_state,s t ɑː t
bre,Indo-European,Celtic,432_king,ʀ uː ɛ
bre,Indo-European,Celtic,433_power,g a l u t
bre,Indo-European,Celtic,434_border,h a ʀ z u
bre,Indo-European,Celtic,435_war,b ʀ eː z ɛ l
bre,Indo-European,Celtic,436_enemy,ɛ̃ n eː b ɛ ʀ
bre,Indo-European,Celtic,437_violence,t ɑː ɛ ʀ d ɛ ʀ
bre,Indo-European,Celtic,438_fight,k ã n
bre,Indo-European,Celtic,439_bow,g w ɑː ʀ ɛ k
bre,Indo-European,Celtic,43_sinew,s t iː ʀ
bre,Indo-European,Celtic,440_arrow,s ae s
bre,Indo-European,Celtic,441_gun,f y z ɥ i l h
bre,Indo-European,Celtic,442_mistake,f ɑː z i
bre,Indo-European,Celtic,443_lie,g ɔʊ
bre,Indo-European,Celtic,444_damage,g w a l
bre,Indo-European,Celtic,445_misfortune,g w a l ø ʀ
bre,Indo-European,Celtic,446_fault,k a b l y s t ɛ t
bre,Indo-European,Celtic,446_fault,p ɛ ɣ ɛ d iː g ɛ s
bre,Indo-European,Celtic,447_age,ɔɑː t
bre,Indo-European,Celtic,448_end,d iː w ɛ s
bre,Indo-European,Celtic,449_time,ã m z ɛ ʀ
bre,Indo-European,Celtic,44_bone,a s k ɔ ʀ n
bre,Indo-European,Celtic,450_day,d ɛi s
bre,Indo-European,Celtic,451_morning,b øː ʀ ɛ
bre,Indo-European,Celtic,451_morning,m i n t i n
bre,Indo-European,Celtic,452_noon,k ʀ ɛi s t ɛi s
bre,Indo-European,Celtic,453_evening,a b a ʀ d ae s
bre,Indo-European,Celtic,454_night,n oː s
bre,Indo-European,Celtic,455_week,s iː z ɔ̃ n
bre,Indo-European,Celtic,456_month,m iː s
bre,Indo-European,Celtic,457_year,b l ɔɑː s
bre,Indo-European,Celtic,458_spring,n ɛ v ɛ z ã m z ɛ ʀ
bre,Indo-European,Celtic,459_summer,h ãː w
bre,Indo-European,Celtic,45_brain,ɛ m p ɛ̃ n
